Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,DOM_DONES
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,22,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2014,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,118,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,322,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,135,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,49,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2015,17,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,111,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,424,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,181,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,58,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2016,11,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,116,1
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,396,2
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,190,3
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,66,4
2022-01-01,2,Eixample,5,el Fort Pienc,22,2017,21,5
2022-01-01,2,Eixample,5,el Fort Pienc,22,2018,91,1
