﻿Codi Província;Nom Província;Codi Vegueria;Nom Vegueria;Codi Comarca;Nom Comarca;Codi Municipi;Nom Municipi;Població;Cens;Participació 13:00;Participació 18:00;Participació 20:00;Abstenció;Vots nuls;Vots en blanc;Vots a candidatures;Vots vàlids
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43009;Alforja;1783;1417;383;688;800;617;12;7;781;788
25;Lleida;4;Lleida;23;Noguera;25015;Algerri;404;347;119;192;212;135;3;0;209;209
25;Lleida;4;Lleida;33;Segrià;25016;Alguaire;3029;2074;570;960;1125;949;18;13;1094;1107
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25017;Alins;272;231;42;113;157;74;4;2;151;153
43;Tarragona;6;Camp de Tarragona;1;Alt Camp;43010;Alió;458;349;111;179;202;147;1;2;199;201
25;Lleida;4;Lleida;33;Segrià;25019;Almacelles;6826;4591;915;1766;2093;2498;61;17;2015;2032
25;Lleida;4;Lleida;33;Segrià;25020;Almatret;305;272;99;178;199;73;2;4;193;197
25;Lleida;4;Lleida;33;Segrià;25021;Almenar;3357;2527;535;1001;1267;1260;16;9;1242;1251
43;Tarragona;6;Camp de Tarragona;8;Baix Camp;43011;Almoster;1341;1094;338;638;739;355;10;6;723;729
25;Lleida;4;Lleida;23;Noguera;25022;Alòs de Balaguer;132;103;30;48;62;41;0;0;62;62
17;Girona;5;Alt Pirineu i territori d'Aran;15;Cerdanya;17006;Alp;1593;1228;274;523;735;493;24;4;707;711
8;Barcelona;2;Catalunya Central;24;Osona;08004;Alpens;261;212;88;150;178;34;2;3;173;176
25;Lleida;4;Lleida;33;Segrià;25023;Alpicat;6266;4642;952;2036;2699;1943;45;29;2625;2654
43;Tarragona;6;Camp de Tarragona;36;Tarragonès;43012;Altafulla;5307;3810;1109;2072;2478;1332;40;30;2408;2438
25;Lleida;5;Alt Pirineu i territori d'Aran;26;Pallars Sobirà;25024;Alt Àneu;414;366;88;166;248;118;1;1;246;247
17;Girona;3;Girona;34;Selva;17007;Amer;2332;1788;598;1016;1128;660;26;5;1097;1102
8;Barcelona;1;Barcelona;41;Vallès Oriental;08005;Ametlla del Vallès, l';8646;6576;1097;3006;3912;2664;71;29;3812;3841
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43013;Ametlla de Mar, l';6866;4532;1195;1912;2406;2126;61;25;2320;2345
43;Tarragona;7;Terres de l'Ebre;9;Baix Ebre;43906;Ampolla, l';3277;2181;656;1015;1236;945;46;4;1186;1190
43;Tarragona;7;Terres de l'Ebre;22;Montsià;43014;Amposta;21115;14467;3481;5764;6663;7804;208;74;6381;6455
